; CSV, generated by libsigrok4DSL 0.2.0 on Sun Nov 09 13:07:41 2025
; Channels (16/16)
; Sample rate: 50 kHz
; Sample count: 600.64 K Samples
Time(s), clock, a15, a14, a13, a12, a11, a10, a9, a8, a7, a6, a5, a4, a3, a2, a1
1.4038,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.40382,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.40388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.40392,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
1.40394,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.40396,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.40398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.42092,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.42094,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
1.42096,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.42392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.42394,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.42396,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1.42398,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.42402,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.42404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.42418,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.42422,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.42424,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
1.42426,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.42428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4243,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.42432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
